number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_scale_pos_weight,params_subsample,state
11,0.8961439073290265,2026-07-22 16:44:49.216712,2026-07-22 16:44:49.939202,0 days 00:00:00.722490,0.7197279468090542,0.010508449172945295,3,94,4.649562938051006,567,126,0.00990534200041035,1.1089192962469652e-08,1.180314778738318,0.9957564293066135,COMPLETE
12,0.8960559144575629,2026-07-22 16:44:49.939572,2026-07-22 16:44:50.480637,0 days 00:00:00.541065,0.7203653470114618,0.016789328630032956,3,100,4.912336850605135,539,127,0.0049261363301718476,1.0400203952149801e-08,1.1657364894810556,0.9984066126989741,COMPLETE
13,0.895400980173758,2026-07-22 16:44:50.481031,2026-07-22 16:44:51.008455,0 days 00:00:00.527424,0.7551959506497801,0.018403252744774615,4,97,4.535818132471539,534,128,9.437367337306238,1.4753158524839943e-08,1.1469326662058212,0.9980542727874653,COMPLETE
14,0.8942949431944754,2026-07-22 16:44:51.008827,2026-07-22 16:44:51.747889,0 days 00:00:00.739062,0.8534060437028734,0.0182116632479041,5,86,4.303604062072209,542,112,0.0026418899763761693,2.0743368308368648e-07,1.1477188041344575,0.9086618437218617,COMPLETE
15,0.894782802405881,2026-07-22 16:44:51.748268,2026-07-22 16:44:52.270985,0 days 00:00:00.522717,0.6812699712112874,0.01760264185842844,3,98,4.9544926456420715,446,85,0.007636743361413737,3.257859057721401e-07,1.2149508163348592,0.9180258429082164,COMPLETE
16,0.8936912452662062,2026-07-22 16:44:52.271382,2026-07-22 16:44:52.799759,0 days 00:00:00.528377,0.7528856953672585,0.02953609941563632,5,84,2.850775487392651,649,117,2.3803087778760937e-06,5.069073784652356e-07,1.1163658349073722,0.9994335032716137,COMPLETE
17,0.8938650033415014,2026-07-22 16:44:52.800123,2026-07-22 16:44:53.722566,0 days 00:00:00.922443,0.6533606050857224,0.01503865534737798,4,70,4.152253949036765,632,99,0.0006301052917447432,1.8462059065318776e-08,1.2247644707864134,0.6049023671174069,COMPLETE
18,0.894183559812876,2026-07-22 16:44:53.722947,2026-07-22 16:44:54.341292,0 days 00:00:00.618345,0.7485714068637109,0.02344019027150978,6,91,3.9997548664935056,457,120,0.031419515987898904,1.7788376332508683e-06,1.1011881552999077,0.9341139162963846,COMPLETE
19,0.893942971708621,2026-07-22 16:44:54.341669,2026-07-22 16:44:54.851648,0 days 00:00:00.509979,0.8918453681649303,0.062351473080255015,5,72,3.0202710171572553,643,103,4.445228114011459,7.216049580967614e-08,1.1715414358563616,0.859158663471996,COMPLETE
20,0.8948362664290487,2026-07-22 16:44:54.852005,2026-07-22 16:44:55.283945,0 days 00:00:00.431940,0.786054054503423,0.04450750940940408,7,89,4.983372431306068,452,90,0.02477048550063463,0.00010867009696196466,1.4990078040936228,0.9618309588303184,COMPLETE
21,0.8955558030741814,2026-07-22 16:44:55.284309,2026-07-22 16:44:55.994065,0 days 00:00:00.709756,0.7203448776916035,0.011092604032433666,3,97,4.9750175271183394,561,128,0.004695828544269395,1.7745151945475917e-08,1.207298884731686,0.9592127150901539,COMPLETE
22,0.8957418133214524,2026-07-22 16:44:55.994437,2026-07-22 16:44:56.724454,0 days 00:00:00.730017,0.6619661971609575,0.0104777973451861,3,99,4.64749504092508,569,119,0.0010386138176153084,7.176012020689885e-08,1.2603378501571507,0.9935360345325411,COMPLETE
23,0.8950122521719761,2026-07-22 16:44:56.724818,2026-07-22 16:44:57.505346,0 days 00:00:00.780528,0.6651552863104896,0.014500800475707476,4,90,4.517456006028638,691,112,0.0007571088163674793,1.031982696796459e-06,1.2790071568728891,0.9942628557100396,COMPLETE
24,0.8949988861661841,2026-07-22 16:44:57.505709,2026-07-22 16:44:58.129972,0 days 00:00:00.624263,0.6587955242698611,0.022552940943456185,3,100,4.010840616326429,591,118,2.4446040900369255e-05,1.0591530824886152e-07,1.349099236356236,0.9256630794784004,COMPLETE
25,0.8948540877701048,2026-07-22 16:44:58.130320,2026-07-22 16:44:58.846362,0 days 00:00:00.716042,0.7355855622961766,0.013473666905540634,4,80,4.598032972510016,495,111,0.00030504155829229454,1.1942634194570194e-08,1.1696425502639312,0.8821497117024861,COMPLETE
26,0.8940498997549565,2026-07-22 16:44:58.846744,2026-07-22 16:44:59.697367,0 days 00:00:00.850623,0.6806781389125294,0.010145172744386805,5,90,3.5353088795222845,373,120,0.019292688190192364,1.2063187241737652e-07,1.2590283161929334,0.9486271338646127,COMPLETE
27,0.8957139674760526,2026-07-22 16:44:59.697741,2026-07-22 16:45:00.289719,0 days 00:00:00.591978,0.6402037512711535,0.021858811242235494,3,84,3.948540671138081,614,75,0.0016269675555811835,2.2022576813227947e-06,1.2474359936601185,0.9763802879498391,COMPLETE
28,0.8949053241256405,2026-07-22 16:45:00.290089,2026-07-22 16:45:00.910269,0 days 00:00:00.620180,0.7886338693605194,0.013235010657187195,4,74,4.661566320411324,391,98,1.6576244310991015,8.066279153530859e-08,1.377083506986642,0.903274014401569,COMPLETE
29,0.8961305413232346,2026-07-22 16:45:00.910656,2026-07-22 16:45:01.571667,0 days 00:00:00.661011,0.601213073584349,0.015151309002313996,3,93,3.2933211602771237,514,106,0.098940858853185,5.222780233898658e-07,1.0833453819607097,0.9842013483932749,COMPLETE
